,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
284,KIF2A,DHRS4L2,RPS13,GNA13,NFATC2,CARD16,CSDE1,RAB27B
285,OGG1,MRPS6,MBNL1,EIF3M,MPPE1,CD3G,PPIB,NBPF10
286,PASK,IFI27L2,DNPEP,MRPL28,TRIM22,ARPC4,GAS6,TMBIM1
287,DARS,RPS4Y1,UBA52,STX18,HNRNPA3,PSMA3,PSMB10,C1orf198
288,TOMM7,RGS2,U2AF1,UBR2,SUMO2,IL10RA,C9orf16,TESC
289,KIAA0430,NCF4,CDC40,TNFSF13B,GRHPR,SEPT9,BASP1,ALOX12
290,NDUFC1,ERP29,GPR183,DCAF11,FAM104B,CCDC115,IFNAR1,FURIN
291,YEATS4,YBX3,MED4,UBE2Q2,USP28,MYL9,SEMA4A,SVIP
292,RNF5,SAT1,CEPT1,GLUD1,PPP3CC,PLEKHO1,FES,AP1B1
293,CCZ1,CDK5RAP3,GNL3,PEBP1,GHITM,TYMP,NR4A2,PRKCB
294,NPM1,RPL23,GNAI3,ADRM1,CHST2,PMAIP1,MZT2A,NASP
295,RSL1D1,LRCH4,HMGN1,YWHAB,MBP,MRPS11,MAP4K1,DAPP1
296,FAM89B,IDH3G,RP11-347P5.1,CD53,ATP5F1,UFC1,CCT8,UBXN11
297,RPL23A,NSA2,SNX22,PILRB,CD164,EMR1,EIF4A3,CBX3
298,TMEM87A,SRP14,CAMK1D,JARID2,NSD1,PSMB8,DNMT1,CDC42SE2
299,SNW1,IL1RN,TMED2,SFPQ,ORAI3,TSTD1,NFKBIA,GRB2
300,ANP32B,C20orf27,GGA2,SYTL1,COPZ1,POLR2G,LINS,FKBP8
301,THRAP3,IFI27,PEBP1,KTN1,WASF2,VBP1,GNB1,ARL5A
302,SH3BP5,CD300E,PHF14,UBE2D2,SHKBP1,DBNL,ATP2B1,INSIG1
303,TCP11L2,SHKBP1,TIFA,DIS3L2,C15orf61,POU2F2,FAM173A,NDUFS5
304,HMHA1,PKM,RPL19,ARAP2,ARHGDIA,CPPED1,UQCR10,TBC1D22A
305,LTBP4,EMC7,HIRA,TCEB1,SH2D2A,ATP6AP2,MT-ND5,CALM1
306,MAEA,VPS26B,CTA-250D10.23,YWHAH,CDKN2D,ANAPC11,C1orf43,CTDP1
307,GIMAP4,PXN,RPL36,TNFRSF1A,MRPL23,NUP50,ATXN2,CHCHD10
308,NUDT16L1,WDR45B,MAF1,PAG1,TRABD,CNIH4,ZSWIM7,GTPBP2
309,MACF1,RP11-139H15.1,SMIM11,SZRD1,ST6GALNAC6,PAIP2,SEC13,HMG20B
310,NOP56,REEP5,STK4,PRNP,HENMT1,C11orf31,ITGB7,VPS28
311,SFSWAP,SNORD3D,RP11-220I1.1,SH3BGRL3,POP5,EIF4E2,MYEOV2,MAD2L1BP
312,U2AF1L4,MRPL4,NT5E,DOK1,GIMAP2,DCTN3,ZNF296,RDH11
313,ATP1A1,GMPR2,RPL23A,CCDC88C,MYH9,MED10,HNRNPU,KCMF1
314,PRPF38B,NDUFC2,MTSS1,S1PR4,TMBIM4-1,ASNSD1,PPP3R1,GNB1
315,COPS2,KIAA0368,ATP5F1,SNRPA1,MAPK1,SAMM50,KPNA2,TBC1D20
316,RP11-1399P15.1,GAPDH,BCL7A,SNRPF,C9orf142,GRAMD1A,ZNF511,B2M
317,LCP2,PPT1,BTK,CNN2,NOP10,TMEM167A,C1orf162,RP11-254F7.2
318,RP11-18H21.1,BUB3,RPS19BP1,ULK3,LNPEP,ARIH2,SLC25A3,NAPSA
319,ATP6V1D,ATP5J,PAIP2B,LDHA,TMEM9B,PPP2R3C,RTFDC1,CHST12
320,CD3G,KRAS,TRA2A,LAP3,TMEM160,PSMB3,CLIC2,SRSF6
321,COX16,TMEM243,DDB1,KPNB1,RNF126,CD302,GNB2,ITGB3
322,KIAA1551,NQO2,ATP6V0E1,ABCE1,DDX39A,ITGAL,MBNL1,SLC39A3
323,NGFRAP1,UBL5,PAX5,SET,TUBA1B,CYTH1,FAM49B,CDYL
324,CAMK4,CLTA,MFF,DTNBP1,STX5,RAB2A,RPL4,CFL1
325,ERBB2IP,SCCPDH,RP9,MCL1,MRPS11,CX3CR1,UQCRFS1,SSR4
326,PHB,IFIT2,CAPZA1,RPL36,SELM,SMDT1,CHCHD2,PPIB
327,RPS15A,TMEM147,IL6,PFDN5,ZBTB20,MTSS1,FAM120A,KIF2A
328,ZFAND5,MIEN1,WHSC1L1,TIMM13,UBA2,TAX1BP1,NDUFS4,RNF115
329,C12orf57,CCDC124,TCEA2,UNG,MARCH2,EIF3I,RNFT1,CTTN
330,RPS11,HDAC1,CAMLG,KLHDC2,DSTN,MCOLN1,BRD2,NEXN
331,PTRHD1,TIMM13,POMC,SAFB2,MPST,TGOLN2,AGPAT9,MPST
332,EFNA4,BUD31,SNAP23,NAA20,MAP3K8,STAT3,FKBP5,ABHD11
333,ADK,PARK7,AIMP1,TBC1D1,CAP1,AKAP13,PRPF6,LCN2
334,USP10,ALDH3A2,RTFDC1,PSMC5,PIGC,LEPRE1,IMPDH2,PRDM1
335,KRAS,RPS11,ARHGDIB,GUK1,MESDC1,EPSTI1,SERPINB6,ANK1
336,ANXA11,NANS,TRAF5,PRR13,ACAP1,EMC8,MBD6,CMPK1
337,ARPC5,RPA2,SMC6,APOBEC3G,NCR3,PKN1,CD83,AL928768.3
338,XRCC6,ST13,ARFGAP2,CHCHD10,NFU1,TPGS2,FUT7,ALDOA
339,SLC2A3,TIMM17A,OPN3,BRD4,TSSC4,SHMT2,EIF2AK2,VKORC1
340,UPF3B,HHEX,RPS27,GID8,PDCD6,PSMB7,TBCB,PLEC
341,TUBA4A,DTNBP1,CKS1B,SLC20A1,RPL36AL,CTDSP2,CMPK1,TPGS2
342,APBA2,NDUFB10,MTPN,NFE2L2,FDPS,NDUFA4,MRPL14,BBC3
343,TMEM258,TGFBI,MRPL48,RUNX1,RCN1,SRRT,TRADD,C6orf226
344,FBL,RAB10,UVRAG,DCK,PSMD5-AS1,SLC44A2,NDUFS5,SSH2
345,INF2,SLC9A3R1,DEF8,ABHD14A,FASLG,DESI1,NSUN2,NLK
346,RABL2B,SH3BGRL3,SRPRB,MIR4435-1HG,CYB5B,COMMD9,CMTM3,LEPROT
347,APBB1,MAT2A,CHPT1,ACBD6,BHLHE40,C1orf123,C10orf11,PTPRA
348,TMC8,SPTLC2,UBE2J1,PLA2G12A,HAGHL,SLA,TRAPPC13,RGCC
349,EID1,COTL1,ACBD3,RNF125,RPL41,SERF2,APOBR,TMEM9B
350,SBNO1,TXNL4A,RPL35,CD160,C19orf43,C16orf87,TYMP,RABIF
351,SEPT1,MLX,KIAA1033,DTD1,RAB7L1,PABPC1,OFD1,UBA1
352,EAPP,OCEL1,ERGIC1,UGP2,KAT6A,PSMC4,EIF3F,KIAA0125
353,TMEM43,COMTD1,ARAF,GABPB2,INTS10,PDLIM2,RPLP0,IFRD1
354,DGCR6L,XPA,CYB5R4,DYNC1H1,TOMM22,GNG2,APP,TOPORS-AS1
355,NMRK1,GNAS,ANXA7,HGS,SCFD1,TPP1,RPP25L,PPCDC
356,ATPIF1,DNAJA1,PTMA,SEC63,CRELD2,STK10,ARHGEF40,CMIP
357,SRP9,CAPG,UBE2G1,PSMB8,PHPT1,LILRB4,CHPT1,CHMP2A
358,C3orf17,UPF2,AUP1,HSPB11,CELF2,CYBB,ALKBH7,WBP5
359,NDUFS3,PEA15,PARP14,DCAF5,SIRT2,MRPS15,LMNA,UBALD2
360,TBC1D4,F8A1,VOPP1,HLA-B,SEC61A1,PFN1,MED28,PSMC4
361,CLUAP1,TOP1,COPS6,GADD45GIP1,NASP,SNRPG,FAM96B,RSPRY1
362,RPL36,ZFP36L1,DOPEY2,ZFP36L1,DUSP1,DUSP11,SDHD,MCUR1
363,NMRAL1,PSMF1,UCP2,ACTB,GIT2,PTGES3,AKR1A1,GNAZ
364,ZNF146,CBWD1,CLK1,PHB2,SLC9A3R1,NT5C,KDM6B,TMCC2
365,ACAP1,ADSL,KIAA0226L,PSMA7,INPP4A,BZW2,TMED9,ARMC10
366,THAP11,MEFV,SNX5,FAM46C,CLIC1,COL4A3BP,ZDHHC12,CYB5R3
367,TTC3,NUDT21,RPS15,RBMX2,LYRM2,HLA-F,HSCB,ANKRD9
368,HAX1,RAB24,ACP5,PPIB,FAM173A,PPP1R9B,TIMM10,ARG2
369,FOS,RPS9,UBB,SLC35B3,KIR3DL2,UBAP2L,RAB11A,EIF2AK1
370,ILF3,SDCBP,GMPS,STX17,ARPC2,NAMPT,AKIRIN2,NDUFB7
371,DDX39B,KAT8,POLRMT,GOLGA4,PRKCH,ACADVL,YIF1A,H3F3B
372,ZNF274,SNRNP25,RPL13A,DNAJB1,SIGIRR,COX6A1,RPL5,C19orf33
373,GIMAP2,OCIAD1,PSMB9,TXNDC15,EIF6,RPL36AL,MRPS7,NUDT1
374,ATP5C1,PAFAH1B2,RPS19,CMAS,TNFRSF18,MSN,CLIC3,STK16
375,CDC73,TNFRSF1A,UNC119,ID2,BAZ1A,CYFIP2,SLC39A3,SLBP
376,TXK,R3HCC1,LRRC59,GAR1,PINK1,OSBPL9,TRAPPC3,hsa-mir-1199
377,HNRNPA0,HNRNPD,CYBB,SLC4A10,PTRHD1,EIF4H,KMT2C,ACAT1
378,VTI1B,UQCR11-1,RABEP2,C19orf60,TGFB1,CHCHD1,PARP8,MRPL20
379,IFT20,PISD,ATG10,SFT2D1,TOX4,RPS6KA1,PLBD1,ZFP36L1
380,TUSC2,RGCC,MYC,CHMP6,ANAPC16,ZNF622,RPSA,MAP7D1
381,SLC25A40,LTA4H,ARL14EP,SLC35C2,STX8,ACTR3,MTDH,TOR1A
382,UBE2G2,TMSB4X,CRNKL1,RGS19,CARD16,ZYX,TAF7,SWI5
383,TAX1BP1,CXCL2,LMBRD1,DENND2D,HNRNPK,GLUD1,NAGK,PREB
384,RPL19,C1orf162,FRG1B,TSEN15,ADA,CDK2AP1,ETHE1,CLIC4
385,GART,CPVL,GRB2,FDFT1,GZMH,CASP1,SPI1,GNPTAB
386,ID3,LACTB,LRRFIP1,CLPP,CYB561D2,THRAP3,TNFAIP3,LSM1
387,SNHG15,IFFO1,SNX29,TMEM259,SMC4,LRP1,PRKCSH,ATP5B
388,PYGO2,CNOT2,LYST,STK16,RABGGTA,SLC31A2,TMEM230,MFF
389,ANP32E,ZNF703,PPP1R14A,XAF1,CCDC69,JKAMP,MX2,PCP2
390,SNHG12,CHMP4A,TAP2-1,RPA3,TMC8,MRPL48,TPM4,YY1
391,IL23A,PRKAR2A,IFIT5,TM9SF3,NDUFB10,TMEM134,EIF2B1,STXBP2
392,PPDPF,RPL10,RP11-94L15.2,MKNK1,N4BP2L1,PCBD1,GAA,FHL1
393,ZNF267,RPAIN,HNRNPK,NDUFAF1,ESYT1,CSF2RB,DR1,BCAP31
394,CSNK1A1,SIGIRR,IQCB1,ARL6IP6,SLC44A2,BAX,KLF10,RP11-1143G9.4
395,RFXANK,TMEM154,CHD9,MTIF3,UFC1,APH1B,LDHA,NIFK
396,DPH5,NUP62,RPL21,DECR1,EPB41L4A-AS1,TMEM179B,IGFBP7,ISY1
397,SPG21,SLC4A2,ABHD13,HAUS1,RNF187,TMEM107,MAN2B1,MAZ
398,HMGN1,FAM49B,ZNF24,BATF,ELOVL5,KDM3B,CNDP2,ASB8
399,HNRNPU,ALG13,CAND1,ARL6IP5,MXD4,RPA3,TRIM33,CAPZA2
400,NBR1,TSPAN4,C7orf55,CSK,ATP1B3,GIMAP4,LILRB4,EIF4G2
401,GRAP2,ISG15,SLC25A3,PPP4C,P4HB,ARFGAP3,SMDT1,POLR2L
402,SEPT9,KCNE3,RELB,MYH9,RUNX3,DDX23,NBEAL1,TUFM
403,TSG101,MGST1,TAF7,HMGXB4,UBE2E3,TNFSF10,FAM46A,CMAS
404,EIF3I,FBXO9,RASGRP3,PPA2,SNRNP70,NOL12,C6orf48,SYMPK
405,TMEM204,KLHL24,CWC25,RP11-500C11.3,COMT,UBE2Z,PSMA3,DSTN
406,SAMHD1,HPCAL1,CTR9,MGST3,ADI1,ICAM4,TMEM69,ROGDI
407,SFXN1,C17orf89,DERL3,FBXW2,RP11-81H14.2,PAF1,GNL2,RNASEH2C
408,PDE4B,SELK,EIF3L,PWP1,ITGAM,ZMAT2,FABP5,EMC3
409,SRSF11,DENND3,SEP15,VAMP5,PSMD7,IFI35,TAF10,PYGL
410,EMD,SNX6,BTN3A2,MRFAP1L1,WSB1,NELFCD,EIF4A1,HN1
411,SBDS,HAUS4,TAPSAR1,ABCF2,RNF115,RBPJ,MYD88,GUCY1B3
412,PDCD4,GBAS,ACSS1,C19orf43,PTGER2,TRNT1,CCNB1IP1,YY1AP1
413,MCTS1,CD93,EWSR1,RSU1,SMIM20,BCL2A1,SAT2,RPA1
414,RASSF3,PPP1R7,FBXW5,MED13,EMC10,GGNBP2,H1FX,MAGED2
415,CHRAC1,AP2B1,RP11-16E12.2,GRAP,INPP5K,RTN4,FAM105A,TIMM17A
416,GSDMD,C11orf73,DAPP1,CD81,ACP1,LMO2,USF2,ATP9A
417,FAM53C,BTF3,EIF5,TMCO1,IRAK4,VDAC1,NSD1,NPM3
418,CETN2,UBE2E1,RPLP1,FAM60A,RSRC2,CYBA,NAMPT,ATP6V1E1
419,NFAT5,G0S2,BECN1,POLR2K,HNRNPU,C1orf86,CYSTM1,TAOK3
420,RPSAP58,MRPS31,HLA-E,HDHD2,PPP1CA,SOD1,MAEA,FLNA
421,IKBKE,MT-ATP6,GAPT,IFNAR2,UCP2,SIVA1,RPRD2,AP2M1
422,PRKRA,CD9,C1GALT1,CALM2,CCDC115,ATG3,PRKACA,VCP
423,C21orf33,HSDL2,FTL,CYB5R1,PCMT1,AKR1A1,MLF2,SPNS1
424,C14orf2,GABARAP,CCT4,C4orf32,DDX50,SYK,TOB1,STOM
425,HSD17B10,RNASE2,RPL11,TAZ,HNRNPA2B1,ATP6V0B,MRPS25,TRIM58
426,BCAS2,SSR4,STARD7,CMTM6,BNIP2,GRASP,UCHL3,HDGF
427,FBXL8,STX10,PPHLN1,ISCA1,TMEM141,MPC1,SF3B4,PTGIR
428,PARP11,TSC22D4,KDM4B,CCDC101,UQCRC1,PYHIN1,CCR2,PCID2
429,TPRKB,RAB27A,CCDC91,MRPL34,OSGEP,RAC2,UPF3B,ANAPC5
430,DGUOK,PDCD2L,BACE2,OSBPL9,RBBP4,RELT,ORMDL1,P2RX1
431,COQ10B,MT-CYB,UNC93B1,ACAA1,RAB22A,NDUFA3,KIF16B,SHFM1
432,ADTRP,CORO1C,HNRNPM,UQCR11-1,GLIPR2,DPEP2,RP1-241P17.4,COX7B
433,HELZ,SFR1,METTL7A,NDRG3,AGGF1,FAM136A,INSIG2,TBXA2R
434,TNK2,FLNA,DCLRE1C,IL12RB1,WHAMM,PRDX1,MMADHC,TMCO1
435,DCTPP1,IL10RB,LSM2,MLX,DARS,OTUD5,INPP5D,MIR4435-1HG
436,CBX6,APEH,CYBA,ADAM8,UBXN4,TOR1AIP1,TACC1,SF3B4
437,FH,PBX2,SLC44A2,TGOLN2,MIR142,SLAMF7,SAMD9L,MT-CO3
438,TIMP1,TMEM176A,NPM1,MRFAP1,DPF2,SH3BP1,ANXA5,DNPH1
439,PCNA,LFNG,DUSP22,WIPI2,ASCL2,RGL4,MAN2C1,APOA1BP
440,ING4,JOSD2,GPR137,CD99,EMC4,SUCLG2,PFKL,CSK
441,RALA,USP15,EIF5AL1,COX11,B3GNT2,OTUD1,HP1BP3,SERPINE2
442,CRBN,KDELR1,ZFAS1,PABPC4,SNRPA1,LSM10,NSL1,TXNL4B
443,MAT2B,ANAPC5,MARCKSL1,HSP90AB1,PLEKHB2,NAGK,PKM,VEZF1
444,CHMP2A,IQSEC1,DAZAP2,NCKAP1L,NPRL2,CAPZB,SPIB,GPAA1
445,PPP2R1A,RAB28,SEC11C,F8A1,SLA,MARCKSL1,WWP2,LAT
446,SUPT20H,PLD3,EIF1B,RP11-403A21.2,VAMP7,TMEM11,MDH1,ARRB1
447,TRMT11,ATF6,SNRNP48,NUDCD3,NDUFA9,METTL3,PHPT1,FAM65B
448,FHIT,ITPA,PCDH9,NOL8,MSH3,LSM3,THRAP3,TNS1
449,UQCRQ,CUTC,WAC,PLRG1,FMNL1,CD47,SRSF4,HIST1H2BD
450,STARD3,MORF4L2,GBAS,EXOSC9,CALR,CASP5,CNOT10,ABHD16A
451,DPF2,STOML2,DYNLRB1,ARL14EP,STT3B,AKIRIN2,APLP2,FKBP11
452,UXT,PSME3,AHSA2,TFRC,RAN,VGLL4,ATF4,HMHA1
453,PLEKHB1,WDR70,TLE1,ACP5,PSMD8,DNAJC19,TMEM42,HHEX
454,AIP,ALKBH5,FAM177B,BRIX1,MRPS12,FIG4,PDHB,MFNG
455,CCDC174,CUL5,RPS15A,BLK,YIPF3,CELF2,EI24,WIPI1
456,C16orf80,SNRNP70,SMS,MRPL4,FIS1,OMA1,FKBP3,PTTG1IP
457,RP11-51J9.5,MR1,ACP1,PTMS,NIPSNAP1,SH3KBP1,STRAP,RPA3
458,YIPF4,CUEDC2,MED29,ADH5,GRB2,ATRAID,ADPGK,OPA1
459,PBXIP1,RTN3,WIPF1,MRPS10,SART1,VDAC3,C9orf89,TSR3
460,BCL11B,KCTD12,WIPI2,MARCH7,RHOA,SLC1A5,ESD,SERPINB6
461,ABHD3,GBP4,SSR2,P2RY10,TBRG1,CD86,ATP5G1,ENO1
462,CMC2,DPF2,TMCO1,ARHGAP35,WDR45,CLSTN1,CLEC4A,BSDC1
463,OXNAD1,RP11-1094M14.11,EDF1,PTTG1,RP11-792A8.4,UBE2I,ARHGAP4,SRP14
464,LUC7L3,PDCD6IP,MYL6B,FAM177A1,PRPF38A,METTL23,ZMYND8,FSTL1
465,RCAN3,MRPL14,ATRX,ITGAL,PDHB,CRIP1,TARBP1,KLF9
466,RPS16,CCNL2,DOCK8,CCDC59,KIR2DL3,KTN1,SNRPB,MPHOSPH8
467,UBQLN2,ATP6V1F,USP8,COQ4,SPTSSB,APOBEC3G,ID3,DAP
468,PPP2CA,SLC46A2,ARF6,PDCD10,COX7A2L,TSTA3,LIMD2,AP2A1
469,EDF1,PCGF1,NCF4,RAB8A,CRTAP,CD300LF,ACAA1,LINC01003
470,ALDH9A1,MYADM,INO80E,USP19,SF3A3,SEC11A,DDIT3,CCNG1
471,AC093323.3,SLC27A3,UBL4A,ADRBK1,VPS41,GSTZ1,PPP1R15A,MIF
472,PSMB10,UGP2,PUS1,WDSUB1,TMBIM6,BEST1,CMPK2,UBC
473,TASP1,PCMT1,RP11-693J15.5,RPL26,COPS6,MT-ND4L,TBC1D1,ANAPC15
474,CDK13,PFDN1,UBA5,KDELR1,KLF12,STX8,NECAP1,ATPIF1
475,SLC2A4RG,PSMB6,PNPLA8,WBP11,RP3-477O4.14,ICAM3,SCAMP4,DNAJC19
476,DYRK4,CASP8,CBL,ANXA2R,REXO2,STARD7,RP6-91H8.3,AP2S1
477,CEBPZ-AS1,EDF1,RPS7,TNFAIP3,KPNA4,GLRX,TUBA1A,ANKRD10
478,HSPD1,C1orf85,SH2B2,KIAA2026,STIP1,SPN,L3MBTL2,NUP62
479,CCND2,MID1IP1,UQCRH,ANXA2,SAFB,NDUFS6,AIM1,R3HDM4
480,RPLP1,LTBR,ERP44,ANXA7,SUPT4H1,CHD4,SPCS2,BICD2
481,CGGBP1,PPM1M,AP3B1,MAD1L1,HNRNPF,SH3GLB1,BLCAP,RBM38
482,CCAR1,SHC1,USP6NL,HSPA9,TRIT1,PTP4A2,HDAC9,U2SURP
483,COX8A,LGALS9,SGPP1,POLR2F,CRLF3,C21orf33,MLEC,TBL1XR1
484,STAT5A,EIF3H,RPL27,INTS5,PTPN4,TCEB2,EIF3I,COMMD5
485,CASP8,ATF6B,TMEM14B,SIRPG,PGAM1,ALDOA,SMIM12,CSNK1A1
486,PLGRKT,ZSWIM7,RHBDF2,NDUFA6,NUDT5,TRIM5,IL8,FAH
487,POLR2J3,ALOX5,CSK,ING3,RBL2,MRPS2,RAB4B,LRPAP1
488,ZC3H13,FBL,STAU1,GCC2,SNRPG,SNRPD3,RBPJ,SIAH2
489,C17orf89,SF3B1,PFDN5,RPS15A,HSP90B1,NUDT3,KLHL36,ADAM19
490,GYPC,IFI35,METTL10,UBC,VPS29,CD300E,FLYWCH2,MYLK
491,SRSF2,PLAUR,SP110,CD27,CXXC5,METRNL,PID1,FRMD3
492,C5orf15,NNT-AS1,OXA1L,NAIF1,EAPP,IRF7,STAT1,TIMM13
493,VAMP2,PNKD,ARPC1A,SEC11C,RASA3,RIOK3,CNPY3,PPCS
494,FNBP1,SRD5A3,MACROD2,MLLT6,LRCH4,CXCL16,SUSD3,ZGLP1
495,FASTK,EIF3J,SLC2A11,GIMAP7,GSN,HOOK2,MRPL15,TXN
496,CHCHD1,ARHGAP9,OSBPL10,LETMD1,HBA1,INSIG1,COMT,TACC3
497,MRPL21,DENND5A,IQSEC1,COX6A1,PAIP2,MVP,RCAN3,YIF1B
498,SLC12A7,ITGAE,KRBOX4,HSD17B7,PITPNC1,SNHG8,APIP,LSMD1
499,NR1H2,SPTAN1,SLC25A24,AK2,USP47,PITHD1,SIN3A,MX1
500,SPATA2L,SRA1,RPL30,SSU72,SOCS1,TLE4,STK17B,IMPDH2
501,FAM78A,NOP10,TBC1D25,DPP9,PKN1,CALM3,GAPT,TRAM1
502,CITED4,RYBP,HDAC9,GIMAP6,ZBTB16,UQCRFS1,CXCR3,ACP1
503,DNAJC9,GPATCH8,NFKB2,CEBPD,EXOC5,RPS26,U2AF1L4,FAM73B
504,PGP,PDAP1,MICU3,C16orf13,CAPNS1,BIN2,ASF1A,KDELR2
505,ISG20,ATP6V0A1,MRPL32,TRMU,TRAPPC4,NDUFA6,DYNC1LI1,SCP2
506,NDUFB2,SQRDL,MRPL52,FAM96B,RORA,PMPCB,SEC61G,FAM173A
507,TPK1,BSG,CCDC97,SMIM12,FYTTD1,SNAP29,XRCC5,GP6
508,NR3C1,VTI1A,KIAA0040,POLDIP2,ARL6IP5,DNPH1,MIR24-2,RP11-142C4.6
509,SEC61G,YKT6,SETD5-AS1,PLEK,ZNF326,TSPAN33,RRAGC,ATP5I
510,EML3,MPDU1,FCRL5,C12orf57,COMMD7,ZFAND6,MYCL,MT-ND5
511,DDX46,RNF149,GNPDA2,GABPB1,NMUR1,NDUFA13,RBM17,NDUFA9
512,KPNA2,CSTA,RP11-1143G9.4,ACD,ABHD13,MED11,PRKCA,EGLN3
513,CISH,PLXND1,VRK3,ATIC,SLC25A38,ARNTL,VKORC1,RP11-475O6.1
514,CRELD1,FAM195A,TNFAIP8,OPTN,GTF3C1,CERK,IFI44,RP11-197P3.4
515,DEDD2,ARFRP1,PDE4B,DIAPH1,DPM3,RAB11B,LTV1,GTF3C4
516,SUSD3,WAC-AS1,FAM3C,DOCK2,FRG1,HN1,UCK2,GCAT
517,FGFR1OP2,DEDD,IFI44L,CYBA,HVCN1,SNAI3,RNF41,ISCA1
518,RPL28,UBXN1,HMCES,HCFC1,CHST12,TRIM26,RAB31,CXorf23
519,FOPNL,OGFR,IDH1,UBE2G1,SLMO2,G3BP1,RBM42,ARHGAP6
520,RP11-143J12.2,EIF5B,ZNF688,NDUFV1,MPHOSPH8,BCL10,ATIC,FASTK
521,TRIM38,SYF2,ZDHHC21,TBX21,STAT3,S100A10,AKR7A2,ARF5
522,ANKRD44,C1orf174,RNPS1,ARRB2,ANKLE2,MRPL53,NDUFAF2,FBXW9
523,SORL1,RASSF7,SMC4,TMEM179B,TIA1,PITPNM1,POLR2A,MAP1LC3B
524,MRPS25,ZFYVE19,CD81,TRNAU1AP,AKR1B1,SLC38A10,DDX41,PDZK1IP1
525,MAPKAPK5-AS1,SLC25A33,MZT1,RPL27A,HDDC2,CLEC2B,PSMD7,HEXIM2
526,PTBP1,EIF5,YDJC,APOL3,OSTC,DARS,SYNGR1,MCM4
527,PGPEP1,DDX42,WDR11,NUDT18,LSM2,GNPAT,TMED2,HELLS
528,CMTM8,SLTM,PRCC,CFLAR,DSCR3,COMMD3,GDI2,RP11-192H23.6
529,SCML4,SIAH2,TSTD1,THEMIS,FTSJ1,ARHGDIA,RAB1B,TAF5L
530,CNPY4,DDOST,MIOS,BRD9,CYC1,RGS2,AKAP8,AKIRIN2
531,HAPLN3,STYXL1,RAC2,TRIM28,HIST1H4C,TMSB4X,NUBP1,MCM9
532,SPEN,CATSPER1,LMAN1,REST,RELA,G3BP2,TMEM55A,PITPNM2
533,TUBB,DHRS7B,ATP5L,CAPZB,SLC25A39,NUCB1,PTRHD1,RP11-319G6.1
534,ARL3,NRM,SIAH2,VEZF1,MAGOH,NUCKS1,ANP32A,MCM2
535,MOAP1,RB1,TACO1,GLRX,GADD45A,CIR1,DGUOK,CPNE5
536,LRRFIP2,CD74,POLR3E,AGK,EIF3A,UBC,TMEM101,SCLY
537,PDRG1,LRRC58,PSMD14,NXPE3,SEC22C,COMMD8,RPL7L1,GSN
538,VIM-AS1,TAF6L,CALM2,CD164,RINL,LRRFIP1,NKIRAS2,LACE1
539,CCT3,AGPAT3,RPS29,PIAS1,SDHA,ZCRB1,TMEM256,WWC3
540,ZNF683,CREG1,PAPOLA,USB1,CEP95,LILRB1,TMEM251,AIFM2
541,BAZ2A,ELL,PBDC1,PDCD6IP,CETN2,VKORC1,ZC3H15,CD3EAP
542,CACYBP,SMIM20,DARS,TGFBRAP1,C17orf62,SQSTM1,SELL,AC113189.5
543,SLC38A1,ATG5,ANXA4,SPIN2B,CCT7,FUBP1,DUSP23,CCDC71L
544,DSCR3,RBM5,THUMPD1,TACO1,MESDC2,RRAS,CPSF6,MRPL14
545,DDX41,RSAD2,SLC2A3,MYCBP2,ARMC8,THG1L,SOAT1,TUBGCP5
546,KMT2C,MRPS36,CCDC12,DUT,SUGP2,ANXA2,TMEM59,CCAR1
547,PPIG,COX19,ANKRD54,DHX30,FNBP1,CAP1,PON2,BANF1
548,IVD,TNFAIP8L2,ALDH16A1,TMEM101,TEX30,DDX17,NDUFV1,GTF2A1
549,ARID4B,ANAPC16,MRPL12,RP11-94L15.2,ARID4B,GINM1,NDUFV3,CLK2
550,ESD,HLA-DRB5,CDCA7L,YWHAQ,HDDC3,TIPRL,HSPD1,AC137932.6
551,RPL29,CD300C,PTDSS1,RCHY1,PSME1,AATF,SH3BGRL,WHSC1
552,SNRPD3,EIF5A,ST13,DAZAP2,APOA1BP,DENR,VCL,IFRD2
553,PARP9,LILRA5,VNN2,WDR73,GPN1,ETNK1,UCP2,MYBL2
554,DTYMK,C4orf33,CHMP4B,ARPC5L,C12orf75,CAMK1D,SCT,FNTB
555,BABAM1,SRM,ATF4,FBXO4,TCF25,MMEL1,IFT27,LCN8
556,PNPLA6,RP11-65J3.1,FAM3A,SIDT1-AS1,DUT,ATOX1,MDH2,UBE2O
557,CAPN2,AZIN1,UBA6-AS1,TPO,UXT,SNRPB2,RPS21,APOM
558,GLTP,NELFE,CCDC82,DIDO1,ARPC5,METTL13,PMAIP1,TNFRSF13B
559,VAMP8,MED30,IFI16,POC1B,TOM1,TBC1D10C,TMEM206,GNPNAT1
560,HMGB2,MPG,MTHFD1,SMARCC2,ELF1,MESDC1,GSAP,UPF1
561,YWHAZ,IRF2BP2,CCS,CASP4,FRG1B,RUNX3,LTC4S,CDKN2A
562,PPP1R35,EIF4E3,SMCHD1,PPP6R3,RNF8,MRE11A,NENF,LY75
563,BBS2,C12orf44,MARCH6,VPS37A,ISG15,MICU1,RPS11,RAC1
