,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
285,CHRAC1,PKM,DNPEP,ADIPOR1,FCRL6,CD302,GAS6,SVIP
286,RILPL2,COMMD7,GID8,PLRG1,RBL2,STAT3,PPP2R3C,MKRN1
287,YDJC,IRF5,CEPT1,SDHAF1,TMBIM4-1,SERF2,C9orf16,DAPP1
288,NAE1,C14orf166,RPL36,COX11,JUN,HSBP1,NR4A2,NBPF10
289,ATP5D,RPL15,RPS3A,RAB9A,CEBPD,PRDX1,BASP1,UPF3A
290,ETS1,RNASE6,MBNL1,CALM2,CNPY2,TPM3,CCT8,FURIN
291,TRPV2,RPL13A,OAZ1,STK16,ARID4B,SELPLG,EIF4A3,PRKCB
292,BPGM,SNORD3B-1,CTA-250D10.23,MT-ND1,ITGB1BP1,C4orf3,FES,C1orf198
293,TUBA4A,UBL5,MAF1,MOB1A,ORAI3,TMEM167A,SEMA4A,UBXN11
294,SELPLG,PSMA5,SHMT2,TNFRSF25,ORMDL3,AKAP13,NDUFV2,AP1B1
295,SNHG12,RPS4Y1,CAPZA1,C18orf21,ZNF326,GRAMD1A,C1orf43,NASP
296,KIAA0922,FBXL5,MED4,APOL3,CD37,NUP50,MAP4K1,TMBIM1
297,C14orf2,TMEM173,SNX22,MLX,SH2D1A,TAX1BP1,MYEOV2,ITGB3
298,HNRNPA0,FAM200B,HERPUD1,TNFSF13B,IFT20,COPS6,LINS,TESC
299,PTRHD1,DHRS4,HIGD2A,MRPL4,PHF20L1,MYL9,IFNAR1,GTPBP2
300,COX7B,PARP14,MFF,HLA-DPB1,FAM49B,SHISA5,NFKBIA,FKBP8
301,RPS19,GAPDH,ATP6V0E1,TECR,LSM1,CX3CR1,DNMT1,CDC42SE2
302,COMMD6,RNF114,RPL19,TRA2B,USP28,GIMAP4,ITGB7,CBX3
303,MORF4L1,NOSIP,GNAI3,RHNO1,RARRES3,ZYX,ATXN2,HMG20B
304,RBM8A,MRPS6,TMED2,PFDN1,ST6GALNAC6,G0S2,HNRNPU,RDH11
305,AMD1,DOK2,GNL3,RPL22L1,FYTTD1,PDLIM2,FAM173A,CTDP1
306,RP11-18H21.1,SGK1,RPS13,HSPA9,ELOVL1,ASNSD1,ZSWIM7,CHCHD10
307,DERL1,IL1RN,HIRA,CNN2,CD53,LILRB4,GNB1,TBC1D22A
308,PRMT10,TRAPPC6A,TIFA,MID1IP1,RER1,NAMPT,ATP2B1,MAD2L1BP
309,RBMX,CD2BP2,SMIM11,TSSC1,STAT6,CRIP1,SLC25A3,MPST
310,SPG20,RTN3,WHSC1L1,ABHD14A,RCN1,EFHD2,FAM49B,CALM1
311,TPP2,DNAJC7,RP11-220I1.1,TACO1,BEST1,ARIH2,MZT2A,KCMF1
312,TBRG1,SAT1,CAMK1D,AKR7A2,DYNLL1,COMMD9,UQCR10,GRB2
313,RASGRP2,NCF4,BTK,HCFC1,DBNL,ICAM3,PPP3R1,INSIG1
314,TSG101,AP2S1,RPL23A,BRIX1,MRPS11,TPP1,ZNF511,TBC1D20
315,NDUFA1,PSMA1,MTSS1,ERP44,RSBN1L,NAAA,RTFDC1,VPS28
316,DYNLRB1,PLAUR,RPS19BP1,SVIP,HENMT1,SNRPG,SEC13,NAPSA
317,H2AFY,HSD17B10,TRA2A,MRPS10,NKTR,TGOLN2,ZNF296,GNB1
318,SUSD3,CBX3,NT5E,UBE2A,MYL6,NT5C,MT-ND5,SLC39A3
319,SRP72,ELP5,PHF14,RP5-1028K7.2,RP11-66N24.4,STK10,CLIC2,SRSF6
320,EXOC7,AZIN1,OPN3,ATG5,REXO2,SLC44A2,RPL4,CHST12
321,KIF2A,YBX3,STK4,TFRC,APOBR,TMEM134,FKBP5,NDUFS5
322,KIAA0430,CDK5RAP3,PAIP2B,MRPL41,ICAM2,CTDSP2,RNFT1,B2M
323,PPP2R5C,SUMO1,BCL7A,CLN3-1,SUN2,SHMT2,TBCB,CMPK1
324,EIF4G2,MZT2B,TRAF5,UBL7,CCDC107,GNG2,MRPL14,PPIB
325,RPL18,SSR4,KIAA1033,MLLT6,PPM1K,SRRT,FAM120A,KIF2A
326,YY1,PXN,RPS27,CCND3,CX3CR1,SEPT9,UQCRFS1,SSR4
327,SCGB3A1,WDR45B,CKS1B,ANKRD36C,FIS1,DESI1,KPNA2,MCUR1
328,TMEM258,C6orf48,RP9,SIDT1-AS1,PSMC4,RHOB,C1orf162,RNF115
329,CRBN,SIAH2,POMC,SIVA1,ELAVL1,POU2F2,GNB2,RP11-254F7.2
330,PRKRA,RPS9,SRPRB,MED13,PPP3CC,EMC8,FUT7,CFL1
331,TCP11L2,SRM,PAX5,EEF1B2,LPIN2,CMTM6,BRD2,LCN2
332,NOP56,SELK,TCEA2,GIMAP7,CXXC5,RTN4,MBD6,NEXN
333,NHP2,HOMER3,GGA2,IP6K2,SHKBP1,IFI35,AGPAT9,VKORC1
334,ZNF146,LRCH4,ERGIC1,HSD17B7,FASLG,GLUD1,CMPK1,CDYL
335,PITPNC1,KIAA0368,CYB5R4,INTS5,NSD1,LEPRE1,IMPDH2,PRDM1
336,MYADM,RPL23,DDB1,B4GALT3,TMEM223,NUDT16,PRPF6,RGCC
337,IL2RG,PARK7,DEF8,POLR3K,PDLIM2,THRAP3,MBNL1,AL928768.3
338,UPF3B,WDR83OS,SNX5,PLIN2,VAPA,ACADVL,CHCHD2,CTTN
339,NUP210,IFI27,SMC6,ZFP36L1,LNPEP,SULT1A1,EIF2AK2,PLEC
340,SUV420H1,VPS26B,ATP5F1,RPSA,TMEM243,SPAG7,CMTM3,ANK1
341,DHX29,MRPL4,UBE2G1,REXO4,MAT2B,C16orf87,TRADD,ABHD11
342,CTBP1,OGFR,IL6,FAM107B,STX5,VDAC1,NDUFS4,SSH2
343,PTMA,PFDN6,SNAP23,GLUD1,SASH3,PPP1R9B,SERPINB6,C6orf226
344,FBXL12,KRAS,VOPP1,FDPS,MYH9,TPGS2,TYMP,BBC3
345,MT-ATP6,NKTR,AIMP1,UBE3A,SIPA1,MRPS15,NSUN2,TPGS2
346,COX16,ATP6V1F,MTPN,FBXO32,ZNF32,ARRDC1,C10orf11,NDUFB7
347,DDX52,LCK,ARAF,PSMA7,COPS6,NDUFS6,CD83,IFRD1
348,LTBP4,DHRS4L2,MRPL48,OBFC1,VAMP8,COL4A3BP,SDHD,NLK
349,SAMHD1,BUB3,PTMA,PWP1,GRHPR,BZW2,AKR1A1,CMIP
350,ZFAND6,BSG,POLRMT,ECH1,RNF114,AKR1A1,OFD1,LEPROT
351,RPL37A,SNORD3D,UVRAG,PCBP2,SAMD3,RPS6KA1,APOBR,UBA1
352,DDX39B,RP11-139H15.1,ARFGAP2,ACBD6,FGR,PFN1,ARHGEF40,PTPRA
353,C19orf60,TMEM243,ACBD3,YPEL3,PTPN6,CYSTM1,ZDHHC12,CHMP2A
354,OGG1,UPF2,CHPT1,PTPMT1,GIMAP2,MPC1,TRAPPC13,KIAA0125
355,STAT5A,C1orf162,UBB,ARAP2,GIMAP7,OST4,CHPT1,TOPORS-AS1
356,MRPL1,COMTD1,UNC119,ATP5J,KIR3DL2,JKAMP,APP,PPCDC
357,RABL2B,NOP10,UBE2J1,ILF2,MAP3K8,ZMAT2,NDUFS5,RABIF
358,RPL19,HDAC1,RPS15,RAB27A,CRELD2,ZNF622,RPLP0,UBALD2
359,ERICH1,NQO2,KIAA0226L,RPS2,PHPT1,SIVA1,MED28,CYB5R3
360,TMX1,GMPR2,RPL13A,CD44,SCP2,PSMB3,RPP25L,SWI5
361,UBQLN2,PIH1D1,ATG10,NARF,BHLHE40,PCBD1,LMNA,ALDOA
362,VPS35,STK25,PARP14,KRT10,PTRHD1,UQCRFS1,EIF3F,RSPRY1
363,LINC00861,IFIT2,ACP5,RPLP0,MARCH2,RPA3,YIF1A,WBP5
364,BNIP3L,IFI27L2,DOPEY2,CMC1,HAGHL,APH1B,MRPS7,ANKRD9
365,PHF1,PDIA6,GMPS,ANXA7,INTS10,OSBPL9,HSCB,C19orf33
366,ATP5H,SAFB2,ANXA7,NSG1,MESDC1,CHCHD1,TMED9,TMCC2
367,UBAC2,ISG15,RTFDC1,HAUS1,TMEM128,CDK2AP1,PLBD1,EIF2AK1
368,C14orf1,NSA2,RP11-94L15.2,CLPP,LINC00493,TUBB,ALKBH7,ZFP36L1
369,RPL28,CD300C,MYC,ZNF75A,ACAP1,PCGF5,RAB11A,ARMC10
370,UFD1L,ALDH3A2,LRRFIP1,AHNAK,ARHGDIB,ARFGAP3,NAGK,ARG2
371,NAP1L1,XPA,SEP15,SLC4A10,HCLS1,KDM3B,MTDH,GNAZ
372,DGUOK,IL27RA,CAMLG,BIRC6,KLF13,GGNBP2,RPL5,NUDT1
373,C9orf78,QKI,CCT4,RPS26,ATG12,CD300LF,KMT2C,PSMC4
374,IMPDH2,IDH3G,C7orf55,ARFGAP3,PSMD5-AS1,ARL6IP5,PARP8,MRPL20
375,RPS13,MGAT1,RPL35,MTFP1,UBA2,SH3GLB1,KDM6B,TMEM9B
376,SUDS3,SHKBP1,ARHGDIB,PTMS,NFU1,NAGK,LILRB4,hsa-mir-1199
377,OXNAD1,HIST1H1C,LYST,RPL18A,YWHAZ,LRP1,CLIC3,SLBP
378,TARS,MYADM,HNRNPK,KLHDC2,PINK1,NCBP2,TRAPPC3,STK16
379,MAD2L1,TMSB4X,RABEP2,UBC,NOP10,CALM3,TNFAIP3,CLIC4
380,SEC61G,UQCRC1,CHD9,ARL6IP5,UFC1,UBE2Z,GAA,MAP7D1
381,ANXA5,SRP14,AUP1,NXPE3,RABGGTA,RBPJ,TIMM10,ACAT1
382,ZNF683,RPA2,PPP1R14A,HMOX2,MAF1,MYL12B,RPSA,TOR1A
383,CREM,PTPRA,CTR9,ITGAL,COMT,CYBA,PRKCSH,PREB
384,GYPC,DDX19B,CYBB,TNIP1,SDHAF2,DBNL,SMDT1,RP11-1143G9.4
385,TYW3,MAT2A,COPS6,CNTRL,YIPF3,METTL23,FAM96B,ATP5B
386,EFCAB14,RGCC,IFIT5,NUP37,SEC61A1,LSM3,MAN2B1,GNPTAB
387,INF2,RALA,SNX29,RPL36AL,RNF126,NOL12,TMEM230,YY1
388,C19orf24,KAT8,CLK1,H2AFV,QARS,CSF2RB,SPI1,AP2M1
389,ATG12,MRPL54,TAPSAR1,USP8,TXNL4A,SMDT1,LDHA,PCP2
390,FH,UQCR11-1,GRB2,SNX17,COX7A2L,BCL2A1,EIF2B1,H3F3B
391,RNF166,TMEM126B,CAND1,KMT2E-AS1,ATP5F1,FAM136A,IGFBP7,FHL1
392,DYRK4,RPL10,LRRC59,SMIM12,ELOVL5,SH3KBP1,KLF10,EIF4G2
393,NME3,MGST1,CWC25,COA4,CLK1,ICAM4,MX2,CAPZA2
394,CNIH4,PEA15,IQCB1,CEBPD,DDB1,CARD16,ETHE1,ISY1
395,SUGT1,PISD,ACSS1,UROD,DDX50,ANAPC11,NBEAL1,NIFK
396,WHSC1L1,TXNL4A,ABHD13,ARL6IP4,TOMM22,HSH2D,PSMA3,MAZ
397,ATXN10,NUDT21,TAP2-1,POLR3C,FBXW5,DDX23,C6orf48,LSM1
398,EFNA4,LITAF,CRNKL1,PSME1,RAB7L1,SNRPD3,AKIRIN2,BCAP31
399,CALM3,ADSL,RPS19,CPNE2,PLEKHB2,LILRB1,TAF7,PYGL
400,EIF3I,OCEL1,RELB,OSBPL9,PIM1,MIIP,FAM46A,MAGED2
401,SRSF6,DTNBP1,DERL3,TSPYL2,EVL,IDH2,TAF10,ASB8
402,BCL11B,SNRNP25,FRG1B,POC1B,SLC38A2,RAB11B,SLC39A3,STXBP2
403,PTP4A1,GBGT1,ZNF24,PITPNM1,SSR2,TRNT1,TPM4,MFF
404,NDUFB9,TOP1,LMBRD1,FYN,SP100,SLAMF7,DR1,ATP9A
405,CHID1,HPCAL1,BTN3A2,TMEM222,FAM173A,LMO2,USF2,POLR2L
406,RP11-489E7.4,NDUFC2,RASGRP3,CSNK1G2,ACADM,ARAP1,CCNB1IP1,TUFM
407,CD5,RNASE2,RPL21,ARRB2,CUTA,CD86,EIF4A1,EMC3
408,ISCU,IFFO1,TAF7,HIST1H1C,IRAK4,DNAJC19,ORMDL1,HN1
409,OAS1,TIMM17A,UCP2,CD81,SHARPIN,ATP5C1,FAM105A,ROGDI
410,DNAJC9,F8A1,FTL,AK2,MXD4,SNAP29,RPRD2,GUCY1B3
411,SLC25A40,NUP62,RP11-16E12.2,CUEDC2,CTNNBIP1,VKORC1,TMEM69,SYMPK
412,DOK2,RPAIN,UNC93B1,DPP4,STX8,PAF1,GNL2,YY1AP1
413,RPS4X,HNRNPD,FBXW5,SNHG7,MYLIP,SOD1,SF3B4,LAT
414,RPL23,CD9,SLC25A3,DAD1,VAMP7,SUCLG2,TRIM33,STOM
415,UBE2V2,HHEX,RPL11,HSPB11,CHMP5,POLR2G,CNDP2,DSTN
416,TIMP1,MT-ATP6,ARL14EP,ZBED5,RPL41,MRPS11,NSD1,NPM3
417,GPSM3,CCDC124,RPLP1,AGL,WDR1,PSMB7,PRKACA,FSTL1
418,PHF5A,PRKAR2A,BECN1,DOK1,AGGF1,MVP,H1FX,RNASEH2C
419,EEF1D,UBXN1,GAPT,RSL24D1,RAC2,BEST1,TACC1,TIMM17A
420,VAMP8,LTA4H,CCDC91,ID2,LAPTM4A,RGL4,UPF3B,RPA1
421,PSMB5,GABARAP,SLC44A2,TLE4,S1PR5,NUDT3,SAT2,HDGF
422,SNHG15,MIEN1,DCLRE1C,ALOX5AP,ITPA,KTN1,UCHL3,VCP
423,ARID4A,CWC15,STARD7,VDAC3,CNOT6L,SNHG8,FABP5,ATP6V1E1
424,TDP2,C20orf27,RPS15A,MYH9,SCFD1,MT-ND5,NAMPT,P2RX1
425,EWSR1,SLC9A3R1,DUSP22,MZT2B,LYRM2,OTUD1,INPP5D,CMAS
426,SFSWAP,PHPT1,ARF6,APOBEC3G,EMC10,EIF4E2,MYD88,FLNA
427,PSMA3,CNOT2,ZFAS1,GLS,CHST12,TMEM11,HP1BP3,PTGIR
428,EEF1G,MEFV,PSMB9,PABPC4,SUPT4H1,CCDC115,TOB1,TRIM58
429,TRIM38,HAUS4,HLA-E,F8A1,NIPSNAP1,C21orf33,KIF16B,ABHD16A
430,RAD21,SLC4A2,DAPP1,HSP90AB1,SMC4,PDIA3,ANXA5,SERPINE2
431,SDHD,R3HCC1,METTL7A,TTC19,SNW1,TLE4,RP1-241P17.4,VEZF1
432,PRPF6,HSDL2,EWSR1,ISYNA1,ZBTB20,NUCB1,SAMD9L,SPNS1
433,MRPL21,KLHL24,SNRNP48,MARCH7,BZRAP1-AS1,TOR1AIP1,INSIG2,TBXA2R
434,PNN,RAB10,DYNLRB1,RSAD1,WDR45,SYNGR2,CYSTM1,TAOK3
435,EIF4H,NDUFB10,KDM4B,PTPN4,MIR142,OTUD5,MLF2,DNPH1
436,LYRM5,TIMM13,C1GALT1,SERGEF,DYNC1H1,GRASP,CCR2,APOA1BP
437,CPQ,COTL1,EIF1B,CAMLG,CALR,ACTG1,SRSF4,CSK
438,DCTD,TMEM154,DAZAP2,NDUFAF4,IDH3B,G3BP2,APLP2,ANAPC5
439,PQLC3,CBWD1,BACE2,TGFBRAP1,ADI1,CNIH4,PHPT1,TNS1
440,ZC3H13,ALG13,PFDN5,MT-ND3,TMEM141,TCEB2,MRPS25,MIR4435-1HG
441,CCT3,MT-CO1,HNRNPM,C6orf211,CARD16,STX8,NSL1,COX7B
442,HSPB1,FBXO9,USP8,PNKD,TNFRSF18,PYHIN1,MAN2C1,TMCO1
443,BCAS2,PDCD2L,GPR137,SLC35C2,ZNF207,MT-ND4L,MMADHC,HIST1H2BD
444,FIP1L1,TNFRSF1A,FAM177B,MKRN1,FTSJ3,PABPC1,ATF4,TXNL4B
445,G3BP2,TMEM205,CSK,SLAMF1,ARHGAP25,ZFAND6,THRAP3,GPAA1
446,RNF34,MRPS31,EIF3L,GRAMD1A,SLC44A2,UBC,SPIB,MT-CO3
447,ORC4,DENND3,RP11-1143G9.4,EIF2AK1,TXNIP,TSTA3,MAEA,MFNG
448,EIF4A3,PAFAH1B2,SEC11C,EBP,UFD1L,BAX,SNRPB,WIPI1
449,AC013264.2,PBX2,GBAS,ROCK1,NUDT5,SQSTM1,LIMD2,FAM65B
450,TNK2,KCNE3,PCDH9,EIF3M,RAB18,ATP5B,MDH1,CCNG1
451,AP5M1,TSPAN4,ERP44,SAFB2,TGFB1,RASGRP2,EI24,OPA1
452,NGFRAP1,RAB28,OXA1L,C15orf57,PSME1,VDAC3,CNOT10,PCID2
453,RNF44,WDR70,PUS1,RASAL3,PTPRCAP,METTL3,WWP2,DAP
454,MPHOSPH6,CTD-2336O2.1,PNPLA8,IFNAR2,PPCS,SLC1A5,ID3,RPA3
455,CHCHD1,AP2B1,EIF5,PSMC5,MRPS34,PMAIP1,STRAP,PTTG1IP
456,FBXL5,C17orf89,NPM1,POLR2F,PTGER2,FIG4,PKM,BSDC1
457,DPF2,RAB27A,EIF5AL1,NCKAP1L,ASB8,CLSTN1,FKBP3,SHFM1
458,SNRPC,ZFP36L1,AHSA2,NEK9,ASCL2,GSTZ1,CLEC4A,HHEX
459,CBX6,SFR1,NCF4,BATF,OSGEP,DNPH1,PFKL,LINC01003
460,RNF5,ATF6,MED29,DHX36,ZNF394,MRPS2,TMEM42,SF3B4
461,MT-ND6,VSTM1,ATRX,SCAND1,VPS41,VGLL4,TUBA1A,FKBP11
462,KRAS,KCTD12,LSM2,GGA1,PAIP2,CERK,ACAA1,KLF9
463,ETV7,CUL5,SMS,MAGOHB,TAF11,PITHD1,ZMYND8,AP2A1
464,DSCR3,CUTC,UBA5,URI1,BTG1,MRPL53,ATP5G1,MPHOSPH8
465,RPL34,GLI4,TBC1D10C,CCBL1,TBCC,OMA1,PDHB,ANKRD10
466,MYD88,ANXA2,WIPF1,NFKBIA,PATL2,MED11,C9orf89,ANAPC15
467,LTA,CARD16,UBL4A,HLA-DRB5,PYCR2,PKN1,TARBP1,FAH
468,SMIM11,DNASE1L1,TLE1,GNAS,DARS,ATP6V0B,TBC1D1,TSR3
469,RP11-51J9.5,BTF3,ACP1,SLBP,PFN1,STARD7,DDIT3,ARRB1
470,DRAP1,RASGEF1B,MACROD2,AASDHPPT,BAZ1A,BST2,ADPGK,AP2S1
471,CMC2,PLD3,SETD5-AS1,HADHA,NPRL2,COMMD3,SCAMP4,TBL1XR1
472,TAF12,PSMF1,SP110,KDM5D,KIAA1715,CMTM7,L3MBTL2,SRP14
473,TCP1,ZNF277,MARCKSL1,THAP7,RBBP4,POMP,SMIM12,DNAJC19
474,TRMT11,PSME3,WAC,LPAR5,C9orf142,UNC93B1,NECAP1,NUP62
475,RNF149,SLC27A3,RP11-693J15.5,TBC1D10C,PRDX4,METRNL,ESD,ENO1
476,CAPN7,CASP8,INO80E,HSP90B1,PTPN1,CIR1,CMPK2,BICD2
477,PYGO2,IQSEC1,SLC2A11,SH2D2A,RP11-792A8.4,CASP5,FLYWCH2,HMHA1
478,PRKACB,STOML2,MYL6B,MT-ND5,DIP2A,GNPAT,RP6-91H8.3,SERPINB6
479,CD44,SMS,NFKB2,ATG13,MSH3,RAC2,HDAC9,LRPAP1
480,ZNF90,PSMD1,MRPL32,SF3B14,PTK2B,TBC1D10C,PPP1R15A,COMMD5
481,PTPN1,APEH,DOCK8,NOL8,FNTA,CLEC2B,MLEC,R3HDM4
482,HMGN3,UBE2E1,UQCRH,KIAA2026,INPP5K,EIF4H,EIF3I,U2SURP
483,PCMT1,CORO1C,ATP5L,ATP5B,PDHB,EIF3I,SEC61G,ADAM19
484,LEPROTL1,CLTA,AP3B1,TIMM13,KIR2DL3,HLA-F,PID1,YIF1B
485,PARP11,C1orf85,RAC2,COPE,NRD1,NCOA4,ARHGAP4,CSNK1A1
486,HERPUD2,GBAS,SLC25A24,RPSAP58,DPF2,ZCRB1,RBPJ,MYLK
487,SFXN1,PCGF1,SGPP1,SLC25A26,STIP1,WASF2,IL8,MIF
488,NCK2,TMEM176A,HDAC9,USP19,SOCS1,NUCKS1,BLCAP,TACC3
489,COPS2,MT-CYB,TNFAIP8,CHD8,UQCRC1,COMMD8,AIM1,SIAH2
490,COX8A,EIF3H,GNPDA2,YWHAH,CYTIP,TRIM5,RBM17,RBM38
491,FUBP3,RP11-1094M14.11,WIPI2,TPRG1,RHOF,FUBP1,MRPL15,MX1
492,TNFSF10,EXOSC7,SH2B2,ADAM10,EXOC5,IGBP1,STAT1,FRMD3
493,ZNF143,CHMP4A,CBL,TAZ,SART1,PITPNM1,KLHL36,ATPIF1
494,NR3C1,KDELR1,RPL27,SNX6,SPPL2A,SASH3,U2AF1L4,GSN
495,C3orf17,SLC46A2,RPL30,RNF167,RNF115,NAPA,SUSD3,IMPDH2
496,PANK2,ACOT8,USP6NL,N4BP2L2,TOX,PPP2R3C,APIP,ZGLP1
497,EID1,IL10RB,TMCO1,HMGXB4,N4BP2L1,IFNGR2,SPCS2,LSMD1
498,TMC8,ITPA,SSR2,CWC22,PDCD10,SLC38A10,CXCR3,TIMM13
499,TP53TG1,NNT-AS1,EDF1,DECR1,RNF2,SAMHD1,RRAGC,TXN
500,NMRK1,ATP6V0A1,MICU3,SSBP1,NDUFA9,TRIM26,SIN3A,KDELR2
501,RPS3A,DNAJA1,IQSEC1,PFDN6,YPEL5,TSTD1,COMT,ACP1
502,APBB1,SNRNP70,WDR11,PTPN22,C1orf122,CAPZB,RAB31,PPCS
503,TMEM43,MR1,CDCA7L,AIM1,WSB1,COX7A2,RCAN3,TRAM1
504,DCXR,DPF2,KIAA0040,AKIRIN2,COPE,FDX1,MYCL,MAP1LC3B
505,FBL,ANAPC5,PSMD14,QDPR,CSNK2B,ARNTL,RBM42,RP11-142C4.6
506,YEATS4,PIK3CD,METTL10,GLRX3,CINP,PTP4A2,GAPT,GP6
507,LYRM2,TAP1,KRBOX4,EIF3B,TMC8,GINM1,RAB4B,ARHGAP6
508,TASP1,MFSD10,CD81,ZNF792,CCS,G3BP1,ASF1A,FAM73B
509,SNRPD3,SNX6,SMCHD1,STARD7,RNF187,BCL10,ATIC,UBC
510,SUPT20H,SLK,STAU1,USP20,TSPAN3,ATG3,CNPY3,EGLN3
511,ZNF267,VTI1A,MRPL52,ACTR3,BRK1,RRAS,POLR2A,RP11-475O6.1
512,PA2G4,USP4,FCRL5,NDRG3,ACLY,TSPAN33,UCK2,PDZK1IP1
513,DGCR6L,PPP1R7,OSBPL10,RUNX1,NAE1,THG1L,XRCC5,RP11-197P3.4
514,HAX1,ZNF703,ATF4,RPL26,EMC4,AATF,PTRHD1,HEXIM2
515,TUSC2,EVI2B,RPS7,ATP5I,BSG,SEC11A,VKORC1,ARF5
516,SUCLA2,ECH1,TMEM14B,STX11,FAM96B,NTMT1,SYNGR1,GTF3C4
517,CHRNB1,PDCD6IP,RPS20,BAD,TSC22D4,DARS,TMEM55A,GCAT
518,GSDMD,SHC1,SMC4,NQO2,CAPN12,PSMC4,STK17B,CXorf23
519,DHPS,PPM1M,CCDC12,COX5A,GZMH,CYTH1,DDX41,ISCA1
520,DCTN2,CATSPER1,MRPL28,GTF3A,PITPNC1,RUNX3,DYNC1LI1,FBXW9
521,CLUAP1,MPDU1,CCDC97,RIPK1,TMEM43,METTL13,ANP32A,FAM173A
522,TOR3A,LFNG,MZT1,RPL27A,RASA3,M6PR,TMEM256,MCM4
523,UBA2,SH3BGRL3,RHBDF2,C12orf79,CRLF3,MRPS21,TMEM101,RP11-192H23.6
524,CRLF3,MGMT,LMAN1,NONO,KLF2,GCH1,LTV1,HELLS
525,PPT1,JOSD2,TBC1D25,DHX30,PRKCH,SNRPB2,ZC3H15,TAF5L
526,ERBB2IP,RPL36A,FAM3C,PARP15,UBE2D2,NDUFS2,PRKCA,CCAR1
527,HSD17B10,PLXND1,PDE4B,ZDHHC6,CRTAP,SARS,TMEM251,RP11-319G6.1
528,CASP8,CIAO1,ARPC1A,G6PD,C16orf13,GLRX,RAB1B,MT-ND5
529,NDUFA12,EDF1,ZNF688,VPS13C,VPS4B,C1orf123,TMEM59,SCP2
530,CCT6A,SPTAN1,SRRM2,SLC35B3,FMNL1,HDDC2,SELL,PITPNM2
531,IFIT3,ALKBH5,HMCES,ZSWIM7,CELF2,SNX18,CPSF6,MCM9
532,RPL37,UGP2,POLR3E,ADH5,SNAP23,FAM45A,DUSP23,MCM2
533,NMRAL1,LTBR,IFI16,RPL36,TCP1,CD83,PMAIP1,CPNE5
534,PYURF,IFIT3,VRK3,GEMIN7,STT3B,DNAJC15,VCL,SCLY
535,TANK,GPATCH8,SUB1,IFT43,SNHG8,TMSB4X,UCP2,LACE1
536,MSH3,RYBP,CSTF2T,GIMAP1,SDHA,ETNK1,MDH2,AC137932.6
537,NDUFS3,GBP4,CYBA,ILKAP,SAFB,SNAI3,RNF41,WWC3
538,NUP98,NRM,VNN2,VOPP1,GSN,RSL24D1,MIR24-2,ATP5I
539,SMPD1,GNAS,YDJC,CHD4,TMEM50A,SNX5,NKIRAS2,RPS19BP1
540,ID3,TMEM230,MIOS,PTTG1,HNRNPK,DNAJA2,SOAT1,MRPL14
541,ICOS,MID1IP1,MCUR1,PDIA6,IRF7,NDUFA4,TMED2,CD3EAP
542,U2AF1L4,PCMT1,CCS,CRLS1,LINC00969,LILRA2,UFM1,IFRD2
543,ESD,EIF1AD,RAB9A,COX6A1P2,COQ7,MESDC1,PON2,CCDC71L
544,HEXA,SLC25A33,ANKRD54,EIF5,BTF3,ARHGAP27,SFPQ,AC113189.5
545,PDE4B,LILRA5,ALDH16A1,PPM1G,MRPL17,PRADC1,PSMD7,AIFM2
546,RPA2,YKT6,PPHLN1,MGAT4A,GADD45A,ALDOA,NUBP1,GTF2A1
547,ARHGAP30,WAC-AS1,FAM60A,DBP,TRIT1,STAU1,PARP4,WHSC1
548,RPL29,CSTA,PTDSS1,VPS13A,MRPS12,MICU1,RPL7L1,TUBGCP5
549,MOAP1,ZFYVE19,RPS29,SNRNP200,UPF3B,STAC3,DGUOK,FASTK
550,STK10,DEDD,CHMP4B,RBM14,ATP1B3,CEP350,AKAP8,CLK2
551,TPRKB,ZSWIM7,ZDHHC21,ACTB,EPB41L4A-AS1,ANP32E,NDUFV1,LCN8
552,CCND2,SF3B1,PPP1R2,VPS52,TAPSAR1,KIAA0930,IFI44,UBE2O
553,PARP9,TMEM219,SNRPB,DNAJC19,ECH1,C11orf21,GDI2,MYBL2
554,RNMT,TRMT112,TCEAL4,UNG,SF3A3,P2RY13,NDUFAF2,UPF1
555,CNDP2,SRD5A3,RNPS1,NXT1,NMUR1,UPP1,NDUFV3,GNPNAT1
556,FBXL8,PNKD,CDK5RAP3,UBE2D3,UBXN4,GNS,NENF,TNFRSF13B
557,CEBPZ-AS1,RB1,CAPG,CASC4,HBA1,NDUFB6,RPS11,RTF1
558,MACF1,ELL,RPS9,PIN1,SERINC3,TIPRL,SCT,LY75
559,CNBP,C1orf174,IDH1,ACAA1,AURKAIP1,RELL2,EMC8,RP13-582O9.5
560,COMMD7,ATF6B,SRSF4,VDAC2,LASP1,LARP1,SH3BGRL,CDKN2A
561,ING4,MORF4L2,THUMPD1,EOMES,TRPV2,MTMR11,TMEM206,ARHGAP18
562,CTDSP1,RASSF7,CIRH1A,NMT2,TOM1,MMEL1,GSAP,CLPTM1L
563,HMHA1,ITGAE,EIF3H,BCAP31,TNPO1,INO80C,LTC4S,ICA1L
564,BRWD1,PFDN1,AKNA,VPS53,BFAR,ZCCHC9,TMX1,FNTB
565,MRPS18C,DDX42,CCDC82,MRPL36,ACP1,SLA,HSPD1,APOM
